,insee,TauxProprietaires,TauxChomage,NiveauVieMedian
30561,78196,81.81818182,10.06289308,35643
30562,78202,82.21153846,7.5,24444
30563,78206,68.70415648,9.496944053,24831
30564,78208,62.80165369,9.939056504,24134
30565,78209,86.76470588,6.338028169,28775
30566,78217,69.13912375,9.028683181,24454
30567,78220,69.28466077,8.340834083,26897
30568,78224,83.41597796,8.270676692,38836
30569,78227,82.75862069,9.62962963,28036
30570,78230,86.08695652,6.730769231,27173
30571,78231,86.20689655,9.523809524,27112
30572,78233,89.6749522,9.069585614,39018
30573,78234,93.33333333,7.692307692,25909
30574,78236,88.10572687,8.282208589,29179
30575,78237,96.61016949,9.090909091,24705
30576,78238,72.75449102,9.741881765,24759
30577,78239,67.53246753,11.29343629,23128
30578,78242,54.55002514,11.73741917,24243
30579,78245,96.45390071,6.179775281,29272
30580,78246,84.49612403,8.253358925,26183
30581,78255,70.70524412,13.0859375,21295
30582,78261,76.64233577,8.635097493,27481
30583,78262,80.35320088,7.284768212,28397
30584,78263,90.46087889,5.71192053,29591
30585,78264,79.16666667,4.166666667,
30586,78265,80.14403292,6.010016694,28128
30587,78267,73.07274701,10.03411029,23203
30588,78269,80.93220339,7.382550336,29740
30589,78276,86.18181818,10.90909091,23354
30590,78278,85.18518519,7.509881423,29539
30591,78281,88.03418803,5.705705706,27172
30592,78283,89.65517241,8,25894
30593,78285,90,5.054151625,28836
30594,78289,81.25,7.729468599,34423
30595,78290,83.90804598,8.950086059,24205
30596,78291,77.50865052,7.155963303,24968
30597,78296,84.03361345,7.8125,25836
30598,78297,39.10222222,10.18083532,23318
30599,78299,73.91304348,8.928571429,24472
30600,78300,90.18404908,5.882352941,30398
30601,78302,80.51948052,5.063291139,28902
30602,78305,80,9.322033898,34929
30603,78307,86.30136986,4.739336493,28501
30604,78310,46.10742305,11.53427639,22201
30605,78311,63.6660094,9.479597871,27514
30606,78314,83.00068823,8.890925756,23177
30607,78317,86.92579505,6.947890819,26389
30608,78320,79.92125984,10.36585366,24302
30609,78321,82.37288136,6.992481203,31233
30610,78322,61.42949131,9.023005677,33588
30611,78324,92.01877934,11.67315175,25853
30612,78325,86.66666667,5.78778135,27716
30613,78327,76.29678267,10.71055381,23947
30614,78329,90.63545151,6.699751861,27403
30615,78334,92.38095238,6.135770235,31539
30616,78335,52.1274848,17.482785,18741
30617,78337,83.87942333,10.06289308,23506
30618,78343,78.38827839,6.285714286,37659
30619,78344,93.22033898,7.142857143,25632
30620,78346,84.77876106,8.058124174,25538
30621,78349,89.10891089,7.5,32166
30622,78350,66.14060258,10.1762554,34509
30623,78354,70.65321806,10.74476338,22769
30624,78356,60.6557377,9.444086714,26286
30625,78358,58.56799616,7.949097882,34035
30626,78361,29.30112373,22.69214919,15640
30627,78362,46.30915638,16.99753192,19001
30628,78364,85.3820598,7.785888078,29904
30629,78366,78,4,30581
30630,78367,83.70656371,6.719367589,36737
30631,78368,87.75193798,6.738544474,32273
30632,78372,71.45856663,8.276689324,29443
30633,78380,71.54648132,10.2062975,27882
30634,78381,78.87323944,5.803571429,25664
30635,78382,69.9881376,7.653985507,27422
30636,78383,68.01368128,9.354769098,25204
30637,78384,84.98168498,8.682634731,35352
30638,78385,96.1038961,8.333333333,23952
30639,78389,84.56973294,8.026315789,32708
30640,78391,85.88957055,10.52631579,23117
30641,78396,66.14473127,9.015256588,32738
30642,78397,80.2437223,7.440957619,31379
30643,78398,85.58823529,7.584269663,31547
30644,78401,43.16109422,15.20635621,20358
30645,78402,77.57750541,8.636836629,25129
30646,78403,80.69498069,11.12224449,25849
30647,78404,89.79591837,3.636363636,30044
30648,78406,87.25490196,9.821428571,39244
30649,78407,92.44444444,8.650519031,26835
